         CN num,      gen-CN num,      surface CN,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
      gCN-Ni-Pt,        gCN-Ni-X,      gen-CN num,  0.1301,  0.1305,  0.0003,  0.1972, -1.5282,  0.0013,  0.1950, -1.5129
     gen-CN num,       gCN-Ni-Pt,        gCN-Pt-X,  0.1486,  0.1488,  0.0378,  0.1601, -1.3044,  0.0372,  0.1570, -1.2835
     gen-CN num,        gCN-Pt-X,       gCN-Ni-Pt,  0.1442,  0.1432,  0.0172,  0.1746, -1.0023,  0.0170,  0.1748, -0.9921
      gCN-Ni-Pt,        gCN-Pt-X,      gen-CN num,  0.1301,  0.1305,  0.0006,  0.1967, -1.5266,  0.0012,  0.1942, -1.5103
     gen-CN num,       gCN-Ni-Pt,           CN-Pt,  0.1424,  0.1414,  0.0411,  0.1481, -1.4634,  0.0406,  0.1460, -1.4465
     gen-CN num,           CN-Pt,       gCN-Ni-Pt,  0.1334,  0.1316,  0.0154,  0.1802, -1.0778,  0.0152,  0.1807, -1.0708
      gCN-Ni-Pt,           CN-Pt,      gen-CN num,  0.1300,  0.1302,  0.0017,  0.1953, -1.5231,  0.0023,  0.1927, -1.5063
     gen-CN num,       gCN-Ni-Pt,  exp neg strain,  0.2604,  0.2539,  0.0177,  0.8163, -1.1840,  0.0176,  0.8814, -1.2394
     gen-CN num,  exp neg strain,       gCN-Ni-Pt,  0.1150,  0.1153,  0.1975,  0.0000, -1.5206,  0.1957,  0.0000, -1.5056
      gCN-Ni-Pt,  exp neg strain,      gen-CN num,  0.1301,  0.1304,  0.0045,  0.1967, -1.5283,  0.0088,  0.1943, -1.5136
     gen-CN num,       gCN-Ni-Pt,          strain,  0.2645,  0.2587,  0.0187,  0.0000, -0.3781,  0.0188,  0.0000, -0.3706
     gen-CN num,          strain,       gCN-Ni-Pt,  0.2743,  0.2684,  0.0000,  0.0779, -0.3464,  0.0000,  0.0811, -0.3399
      gCN-Ni-Pt,          strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5142
     gen-CN num,       gCN-Ni-Pt,  inverse strain,  0.2645,  0.2587,  0.0187,  0.0000, -0.3781,  0.0188,  0.0000, -0.3706
     gen-CN num,  inverse strain,       gCN-Ni-Pt,  0.2743,  0.2684,  0.0000,  0.0779, -0.3464,  0.0000,  0.0811, -0.3399
      gCN-Ni-Pt,  inverse strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5286,  0.0000,  0.1955, -1.5141
     gen-CN num,       gCN-Pt-Ni,       gCN-Pt-Pt,  0.1783,  0.1783,  0.0490,  0.0978, -0.9888,  0.0478,  0.0952, -0.9672
     gen-CN num,       gCN-Pt-Pt,       gCN-Pt-Ni,  0.1739,  0.1727,  0.0145,  0.2668, -0.9287,  0.0142,  0.2632, -0.9136
      gCN-Pt-Ni,       gCN-Pt-Pt,      gen-CN num,  0.1294,  0.1298,  0.0083,  0.1889, -1.5046,  0.0077,  0.1875, -1.4911
     gen-CN num,       gCN-Pt-Ni,        gCN-Ni-X,  0.2338,  0.2298,  0.0426,  0.0000, -0.5251,  0.0413,  0.0000, -0.5118
     gen-CN num,        gCN-Ni-X,       gCN-Pt-Ni,  0.2552,  0.2495,  0.0068,  0.1663, -0.4777,  0.0069,  0.1642, -0.4686
      gCN-Pt-Ni,        gCN-Ni-X,      gen-CN num,  0.1299,  0.1301,  0.0066,  0.1950, -1.5215,  0.0077,  0.1927, -1.5058
     gen-CN num,       gCN-Pt-Ni,        gCN-Pt-X,  0.1835,  0.1830,  0.0365,  0.0987, -1.0069,  0.0356,  0.0960, -0.9842
     gen-CN num,        gCN-Pt-X,       gCN-Pt-Ni,  0.1688,  0.1681,  0.0141,  0.1625, -0.9078,  0.0138,  0.1609, -0.8930
      gCN-Pt-Ni,        gCN-Pt-X,      gen-CN num,  0.1292,  0.1297,  0.0066,  0.1889, -1.5048,  0.0060,  0.1875, -1.4912
     gen-CN num,       gCN-Pt-Ni,           CN-Pt,  0.1826,  0.1812,  0.0385,  0.0876, -1.0820,  0.0376,  0.0860, -1.0635
     gen-CN num,           CN-Pt,       gCN-Pt-Ni,  0.1620,  0.1607,  0.0126,  0.1634, -0.9663,  0.0124,  0.1625, -0.9544
      gCN-Pt-Ni,           CN-Pt,      gen-CN num,  0.1285,  0.1290,  0.0070,  0.1871, -1.5031,  0.0066,  0.1855, -1.4885
     gen-CN num,       gCN-Pt-Ni,  exp neg strain,  0.2303,  0.2258,  0.0414,  0.6992, -1.2129,  0.0400,  0.7652, -1.2634
     gen-CN num,  exp neg strain,       gCN-Pt-Ni,  0.1150,  0.1153,  0.1965,  0.0067, -1.5201,  0.1947,  0.0066, -1.5049
      gCN-Pt-Ni,  exp neg strain,      gen-CN num,  0.1287,  0.1292,  0.0427,  0.1913, -1.5265,  0.0416,  0.1893, -1.5106
     gen-CN num,       gCN-Pt-Ni,          strain,  0.2338,  0.2298,  0.0426,  0.0000, -0.5251,  0.0413,  0.0000, -0.5118
     gen-CN num,          strain,       gCN-Pt-Ni,  0.2596,  0.2539,  0.0000,  0.2185, -0.4745,  0.0000,  0.2165, -0.4650
      gCN-Pt-Ni,          strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5142
     gen-CN num,       gCN-Pt-Ni,  inverse strain,  0.2338,  0.2298,  0.0426,  0.0000, -0.5251,  0.0413,  0.0000, -0.5118
     gen-CN num,  inverse strain,       gCN-Pt-Ni,  0.2596,  0.2539,  0.0000,  0.2185, -0.4745,  0.0000,  0.2165, -0.4650
      gCN-Pt-Ni,  inverse strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5142
     gen-CN num,       gCN-Pt-Pt,        gCN-Ni-X,  0.1507,  0.1496,  0.0191,  0.1535, -0.9959,  0.0188,  0.1543, -0.9864
     gen-CN num,        gCN-Ni-X,       gCN-Pt-Pt,  0.1551,  0.1556,  0.0303,  0.1662, -1.2281,  0.0302,  0.1631, -1.2097
      gCN-Pt-Pt,        gCN-Ni-X,      gen-CN num,  0.1299,  0.1302,  0.0026,  0.1944, -1.5194,  0.0030,  0.1919, -1.5025
     gen-CN num,       gCN-Pt-Pt,        gCN-Pt-X,  0.2147,  0.2132,  0.0134,  0.0000, -0.6719,  0.0131,  0.0000, -0.6568
     gen-CN num,        gCN-Pt-X,       gCN-Pt-Pt,  0.1854,  0.1846,  0.0148,  0.0000, -0.7958,  0.0146,  0.0000, -0.7825
      gCN-Pt-Pt,        gCN-Pt-X,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,       gCN-Pt-Pt,           CN-Pt,  0.2147,  0.2132,  0.0134,  0.0000, -0.6719,  0.0131,  0.0000, -0.6568
     gen-CN num,           CN-Pt,       gCN-Pt-Pt,  0.1794,  0.1782,  0.0132,  0.0000, -0.8548,  0.0130,  0.0000, -0.8435
      gCN-Pt-Pt,           CN-Pt,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,       gCN-Pt-Pt,  exp neg strain,  0.2009,  0.1985,  0.0140,  1.3262, -2.0066,  0.0137,  1.3847, -2.0481
     gen-CN num,  exp neg strain,       gCN-Pt-Pt,  0.1149,  0.1153,  0.1950,  0.0043, -1.5240,  0.1943,  0.0025, -1.5077
      gCN-Pt-Pt,  exp neg strain,      gen-CN num,  0.1301,  0.1305,  0.0027,  0.1955, -1.5291,  0.0011,  0.1947, -1.5144
     gen-CN num,       gCN-Pt-Pt,          strain,  0.2147,  0.2132,  0.0134,  0.0000, -0.6719,  0.0131,  0.0000, -0.6568
     gen-CN num,          strain,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6443,  0.0000,  0.0772, -0.6206
      gCN-Pt-Pt,          strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5142
     gen-CN num,       gCN-Pt-Pt,  inverse strain,  0.2147,  0.2132,  0.0134,  0.0000, -0.6719,  0.0131,  0.0000, -0.6568
     gen-CN num,  inverse strain,       gCN-Pt-Pt,  0.2494,  0.2470,  0.0000,  0.0808, -0.6443,  0.0000,  0.0772, -0.6206
      gCN-Pt-Pt,  inverse strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,        gCN-Ni-X,        gCN-Pt-X,  0.1303,  0.1318,  0.0262,  0.1733, -1.3764,  0.0261,  0.1702, -1.3563
     gen-CN num,        gCN-Pt-X,        gCN-Ni-X,  0.1333,  0.1330,  0.0179,  0.1218, -1.0263,  0.0176,  0.1223, -1.0158
       gCN-Ni-X,        gCN-Pt-X,      gen-CN num,  0.1299,  0.1301,  0.0021,  0.1942, -1.5189,  0.0024,  0.1918, -1.5021
     gen-CN num,        gCN-Ni-X,           CN-Pt,  0.1219,  0.1233,  0.0284,  0.1608, -1.5508,  0.0282,  0.1581, -1.5294
     gen-CN num,           CN-Pt,        gCN-Ni-X,  0.1215,  0.1210,  0.0159,  0.1250, -1.1026,  0.0157,  0.1252, -1.0937
       gCN-Ni-X,           CN-Pt,      gen-CN num,  0.1296,  0.1297,  0.0024,  0.1932, -1.5167,  0.0028,  0.1906, -1.4997
     gen-CN num,        gCN-Ni-X,  exp neg strain,  0.2608,  0.2545,  0.0108,  0.7889, -1.1486,  0.0109,  0.8543, -1.2039
     gen-CN num,  exp neg strain,        gCN-Ni-X,  0.1150,  0.1153,  0.1975,  0.0000, -1.5206,  0.1957,  0.0000, -1.5056
       gCN-Ni-X,  exp neg strain,      gen-CN num,  0.1300,  0.1302,  0.0065,  0.1960, -1.5275,  0.0087,  0.1938, -1.5126
     gen-CN num,        gCN-Ni-X,          strain,  0.2647,  0.2590,  0.0115,  0.0000, -0.3702,  0.0117,  0.0000, -0.3624
     gen-CN num,          strain,        gCN-Ni-X,  0.2737,  0.2679,  0.0000,  0.0513, -0.3444,  0.0000,  0.0530, -0.3370
       gCN-Ni-X,          strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,        gCN-Ni-X,  inverse strain,  0.2647,  0.2590,  0.0115,  0.0000, -0.3702,  0.0117,  0.0000, -0.3624
     gen-CN num,  inverse strain,        gCN-Ni-X,  0.2737,  0.2679,  0.0000,  0.0513, -0.3444,  0.0000,  0.0530, -0.3370
       gCN-Ni-X,  inverse strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5286,  0.0000,  0.1955, -1.5141
     gen-CN num,        gCN-Pt-X,           CN-Pt,  0.1854,  0.1846,  0.0148,  0.0000, -0.7958,  0.0146,  0.0000, -0.7825
     gen-CN num,           CN-Pt,        gCN-Pt-X,  0.1794,  0.1782,  0.0132,  0.0000, -0.8548,  0.0130,  0.0000, -0.8435
       gCN-Pt-X,           CN-Pt,      gen-CN num,  0.1301,  0.1305,  0.0002,  0.1956, -1.5247,  0.0001,  0.1950, -1.5131
     gen-CN num,        gCN-Pt-X,  exp neg strain,  0.1707,  0.1692,  0.0152,  1.2584, -2.0590,  0.0150,  1.3098, -2.0946
     gen-CN num,  exp neg strain,        gCN-Pt-X,  0.1147,  0.1152,  0.1924,  0.0070, -1.5256,  0.1925,  0.0045, -1.5090
       gCN-Pt-X,  exp neg strain,      gen-CN num,  0.1296,  0.1302,  0.0113,  0.1883, -1.5304,  0.0090,  0.1883, -1.5156
     gen-CN num,        gCN-Pt-X,          strain,  0.1854,  0.1846,  0.0148,  0.0000, -0.7958,  0.0146,  0.0000, -0.7825
     gen-CN num,          strain,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
       gCN-Pt-X,          strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5142
     gen-CN num,        gCN-Pt-X,  inverse strain,  0.1854,  0.1846,  0.0148,  0.0000, -0.7958,  0.0146,  0.0000, -0.7825
     gen-CN num,  inverse strain,        gCN-Pt-X,  0.2248,  0.2231,  0.0000,  0.1120, -0.8752,  0.0000,  0.1089, -0.8530
       gCN-Pt-X,  inverse strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,           CN-Pt,  exp neg strain,  0.1638,  0.1616,  0.0135,  1.2749, -2.1362,  0.0134,  1.3360, -2.1840
     gen-CN num,  exp neg strain,           CN-Pt,  0.1132,  0.1138,  0.1866,  0.0149, -1.5511,  0.1858,  0.0136, -1.5341
          CN-Pt,  exp neg strain,      gen-CN num,  0.1274,  0.1282,  0.0202,  0.1808, -1.5576,  0.0191,  0.1799, -1.5416
     gen-CN num,           CN-Pt,          strain,  0.1794,  0.1782,  0.0132,  0.0000, -0.8548,  0.0130,  0.0000, -0.8435
     gen-CN num,          strain,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0937, -0.9047
          CN-Pt,          strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5142
     gen-CN num,           CN-Pt,  inverse strain,  0.1794,  0.1782,  0.0132,  0.0000, -0.8548,  0.0130,  0.0000, -0.8435
     gen-CN num,  inverse strain,           CN-Pt,  0.2287,  0.2263,  0.0000,  0.0959, -0.9252,  0.0000,  0.0937, -0.9047
          CN-Pt,  inverse strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,  exp neg strain,          strain,  0.1148,  0.1153,  0.1988,  0.2471, -1.5302,  0.1966,  0.1523, -1.5118
     gen-CN num,          strain,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9697, -1.2533,  0.0838,  1.2862, -1.5592
 exp neg strain,          strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5286,  0.0000,  0.1955, -1.5141
     gen-CN num,  exp neg strain,  inverse strain,  0.1150,  0.1153,  0.1975,  0.0000, -1.5206,  0.1957,  0.0000, -1.5056
     gen-CN num,  inverse strain,  exp neg strain,  0.2739,  0.2677,  0.0000,  0.9698, -1.2533,  0.0000,  1.0491, -1.3214
 exp neg strain,  inverse strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,          strain,  inverse strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
     gen-CN num,  inverse strain,          strain,  0.2796,  0.2742,  0.0000,  0.0000, -0.2904,  0.0000,  0.0000, -0.2809
         strain,  inverse strain,      gen-CN num,  0.1301,  0.1305,  1.0220,  0.1973, -2.5505,  1.0227,  0.1955, -2.5368
     surface CN,           CN-Ni, mean CN of NN Ni,  0.2735,  0.2672,  0.0041,  0.0076, -0.3619,  0.0040,  0.0084, -0.3582
     surface CN, mean CN of NN Ni,           CN-Ni,  0.2694,  0.2628,  0.0030,  0.0000, -0.3750,  0.0031,  0.0000, -0.3698
          CN-Ni, mean CN of NN Ni,      surface CN,  0.2574,  0.2521,  0.0041,  0.0681, -0.6385,  0.0042,  0.0654, -0.6191
     surface CN,           CN-Ni, rms CN of NN Ni,  0.2736,  0.2673,  0.0042,  0.0073, -0.3611,  0.0041,  0.0083, -0.3575
     surface CN, rms CN of NN Ni,           CN-Ni,  0.2696,  0.2629,  0.0030,  0.0000, -0.3746,  0.0030,  0.0000, -0.3695
          CN-Ni, rms CN of NN Ni,      surface CN,  0.2576,  0.2523,  0.0040,  0.0681, -0.6376,  0.0041,  0.0654, -0.6183
     surface CN,           CN-Ni, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
     surface CN, sub surface Ni num,           CN-Ni,  0.2569,  0.2517,  0.0297,  0.0000, -0.3596,  0.0287,  0.0000, -0.3499
          CN-Ni, sub surface Ni num,      surface CN,  0.2511,  0.2471,  0.0305,  0.0659, -0.6157,  0.0288,  0.0629, -0.5925
     surface CN,           CN-Ni,             BOO,  0.2745,  0.2687,  0.0086,  0.2216, -0.5457,  0.0088,  0.1874, -0.5061
     surface CN,             BOO,           CN-Ni,  0.2599,  0.2546,  0.0695,  0.0322, -0.6160,  0.0669,  0.0326, -0.5977
          CN-Ni,             BOO,      surface CN,  0.2608,  0.2555,  0.0300,  0.0679, -0.6202,  0.0307,  0.0654, -0.6021
     surface CN,           CN-Ni,  Pt bond length,  0.2751,  0.2692,  0.0081,  0.0000, -0.3347,  0.0085,  0.0000, -0.3278
     surface CN,  Pt bond length,           CN-Ni,  0.2625,  0.2572,  0.0232,  0.0286, -0.6047,  0.0223,  0.0295, -0.5874
          CN-Ni,  Pt bond length,      surface CN,  0.2610,  0.2556,  0.0095,  0.0684, -0.6204,  0.0098,  0.0660, -0.6030
     surface CN,           CN-Ni,    surface curv,  0.2751,  0.2692,  0.0081,  0.0000, -0.3347,  0.0085,  0.0000, -0.3278
     surface CN,    surface curv,           CN-Ni,  0.2770,  0.2713,  0.0000,  0.0291, -0.3270,  0.0000,  0.0309, -0.3197
          CN-Ni,    surface curv,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN,           CN-Ni,      chemSROP11,  0.2750,  0.2691,  0.0080,  0.0376, -0.3344,  0.0084,  0.0508, -0.3274
     surface CN,      chemSROP11,           CN-Ni,  0.2769,  0.2712,  0.0040,  0.0290, -0.3268,  0.0098,  0.0307, -0.3193
          CN-Ni,      chemSROP11,      surface CN,  0.2629,  0.2578,  0.0470,  0.0691, -0.5908,  0.0405,  0.0671, -0.5735
     surface CN,           CN-Ni,      chemSROP12,  0.2751,  0.2691,  0.0081,  0.0000, -0.3347,  0.0085,  0.0265, -0.3287
     surface CN,      chemSROP12,           CN-Ni,  0.2770,  0.2712,  0.0019,  0.0292, -0.3273,  0.0079,  0.0314, -0.3209
          CN-Ni,      chemSROP12,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0002,  0.0668, -0.5725
     surface CN,           CN-Ni,      chemSROP22,  0.2751,  0.2692,  0.0081,  0.0000, -0.3347,  0.0085,  0.0005, -0.3279
     surface CN,      chemSROP22,           CN-Ni,  0.2770,  0.2713,  0.0000,  0.0291, -0.3270,  0.0009,  0.0310, -0.3200
          CN-Ni,      chemSROP22,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN,           CN-Ni,       gCN-Ni-Ni,  0.2744,  0.2687,  0.0043,  0.0594, -0.3338,  0.0053,  0.0500, -0.3270
     surface CN,       gCN-Ni-Ni,           CN-Ni,  0.2738,  0.2681,  0.0246,  0.0000, -0.3260,  0.0248,  0.0000, -0.3171
          CN-Ni,       gCN-Ni-Ni,      surface CN,  0.2602,  0.2554,  0.0172,  0.0697, -0.6104,  0.0167,  0.0670, -0.5896
     surface CN,           CN-Ni,       gCN-Ni-Pt,  0.2742,  0.2682,  0.0021,  0.0620, -0.3464,  0.0026,  0.0611, -0.3400
     surface CN,       gCN-Ni-Pt,           CN-Ni,  0.2716,  0.2654,  0.0199,  0.0000, -0.3533,  0.0205,  0.0000, -0.3469
          CN-Ni,       gCN-Ni-Pt,      surface CN,  0.2598,  0.2545,  0.0157,  0.0687, -0.6168,  0.0161,  0.0666, -0.6000
     surface CN,           CN-Ni,       gCN-Pt-Ni,  0.2594,  0.2536,  0.0017,  0.2099, -0.4764,  0.0022,  0.2053, -0.4676
     surface CN,       gCN-Pt-Ni,           CN-Ni,  0.2534,  0.2482,  0.0466,  0.0000, -0.4638,  0.0454,  0.0000, -0.4523
          CN-Ni,       gCN-Pt-Ni,      surface CN,  0.2538,  0.2485,  0.0439,  0.0670, -0.6393,  0.0444,  0.0647, -0.6223
     surface CN,           CN-Ni,       gCN-Pt-Pt,  0.1967,  0.1942,  0.0306,  0.1522, -1.1253,  0.0307,  0.1500, -1.1110
     surface CN,       gCN-Pt-Pt,           CN-Ni,  0.2198,  0.2171,  0.0185,  0.0954, -0.7715,  0.0179,  0.0949, -0.7522
          CN-Ni,       gCN-Pt-Pt,      surface CN,  0.2488,  0.2432,  0.0232,  0.0617, -0.6536,  0.0233,  0.0592, -0.6356
     surface CN,           CN-Ni,        gCN-Ni-X,  0.2737,  0.2679,  0.0000,  0.0513, -0.3444,  0.0004,  0.0510, -0.3371
     surface CN,        gCN-Ni-X,           CN-Ni,  0.2713,  0.2653,  0.0129,  0.0000, -0.3499,  0.0131,  0.0000, -0.3423
          CN-Ni,        gCN-Ni-X,      surface CN,  0.2596,  0.2546,  0.0091,  0.0692, -0.6162,  0.0091,  0.0668, -0.5972
     surface CN,           CN-Ni,        gCN-Pt-X,  0.1664,  0.1641,  0.0281,  0.1695, -1.3299,  0.0281,  0.1679, -1.3183
     surface CN,        gCN-Pt-X,           CN-Ni,  0.2140,  0.2115,  0.0172,  0.0795, -0.7894,  0.0166,  0.0788, -0.7683
          CN-Ni,        gCN-Pt-X,      surface CN,  0.2489,  0.2434,  0.0170,  0.0629, -0.6560,  0.0170,  0.0604, -0.6378
     surface CN,           CN-Ni,           CN-Pt,  0.1696,  0.1682,  0.0288,  0.1503, -1.4439,  0.0284,  0.1475, -1.4198
     surface CN,           CN-Pt,           CN-Ni,  0.2210,  0.2180,  0.0132,  0.0761, -0.7756,  0.0126,  0.0750, -0.7528
          CN-Ni,           CN-Pt,      surface CN,  0.2511,  0.2456,  0.0126,  0.0617, -0.6454,  0.0126,  0.0589, -0.6257
     surface CN,           CN-Ni,  exp neg strain,  0.2702,  0.2636,  0.0073,  0.9023, -1.2267,  0.0076,  0.9646, -1.2795
     surface CN,  exp neg strain,           CN-Ni,  0.2575,  0.2521,  0.0745,  0.0262, -0.6444,  0.0723,  0.0267, -0.6272
          CN-Ni,  exp neg strain,      surface CN,  0.2601,  0.2548,  0.0306,  0.0685, -0.6265,  0.0313,  0.0660, -0.6083
     surface CN,           CN-Ni,          strain,  0.2751,  0.2692,  0.0081,  0.0000, -0.3347,  0.0085,  0.0000, -0.3278
     surface CN,          strain,           CN-Ni,  0.2770,  0.2713,  0.0000,  0.0291, -0.3270,  0.0000,  0.0309, -0.3197
          CN-Ni,          strain,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN,           CN-Ni,  inverse strain,  0.2751,  0.2692,  0.0081,  0.0000, -0.3347,  0.0085,  0.0000, -0.3278
     surface CN,  inverse strain,           CN-Ni,  0.2770,  0.2713,  0.0000,  0.0291, -0.3270,  0.0000,  0.0309, -0.3197
          CN-Ni,  inverse strain,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN, mean CN of NN Ni, rms CN of NN Ni,  0.2694,  0.2628,  0.0030,  0.0000, -0.3750,  0.0031,  0.0000, -0.3698
     surface CN, rms CN of NN Ni, mean CN of NN Ni,  0.2696,  0.2629,  0.0030,  0.0000, -0.3746,  0.0030,  0.0000, -0.3695
mean CN of NN Ni, rms CN of NN Ni,      surface CN,  0.2549,  0.2493,  0.0012,  0.0661, -0.6552,  0.0012,  0.0629, -0.6343
     surface CN, mean CN of NN Ni, sub surface Ni num,  0.2569,  0.2515,  0.0005,  0.1353, -0.3722,  0.0007,  0.1284, -0.3674
     surface CN, sub surface Ni num, mean CN of NN Ni,  0.2569,  0.2517,  0.0297,  0.0000, -0.3596,  0.0287,  0.0000, -0.3499
mean CN of NN Ni, sub surface Ni num,      surface CN,  0.2422,  0.2381,  0.0121,  0.0601, -0.6202,  0.0117,  0.0566, -0.5957
     surface CN, mean CN of NN Ni,             BOO,  0.2691,  0.2626,  0.0030,  0.1690, -0.5348,  0.0031,  0.1240, -0.4868
     surface CN,             BOO, mean CN of NN Ni,  0.2579,  0.2523,  0.0677,  0.0105, -0.6360,  0.0645,  0.0108, -0.6169
mean CN of NN Ni,             BOO,      surface CN,  0.2588,  0.2530,  0.0102,  0.0663, -0.6396,  0.0106,  0.0633, -0.6214
     surface CN, mean CN of NN Ni,  Pt bond length,  0.2694,  0.2628,  0.0030,  0.0000, -0.3750,  0.0031,  0.0000, -0.3698
     surface CN,  Pt bond length, mean CN of NN Ni,  0.2602,  0.2545,  0.0228,  0.0101, -0.6290,  0.0217,  0.0106, -0.6108
mean CN of NN Ni,  Pt bond length,      surface CN,  0.2590,  0.2532,  0.0034,  0.0670, -0.6421,  0.0036,  0.0641, -0.6242
     surface CN, mean CN of NN Ni,    surface curv,  0.2694,  0.2628,  0.0030,  0.0000, -0.3750,  0.0031,  0.0000, -0.3698
     surface CN,    surface curv, mean CN of NN Ni,  0.2742,  0.2678,  0.0000,  0.0108, -0.3600,  0.0000,  0.0116, -0.3564
mean CN of NN Ni,    surface curv,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN, mean CN of NN Ni,      chemSROP11,  0.2693,  0.2626,  0.0030,  0.0534, -0.3748,  0.0031,  0.0644, -0.3695
     surface CN,      chemSROP11, mean CN of NN Ni,  0.2742,  0.2677,  0.0062,  0.0108, -0.3598,  0.0117,  0.0116, -0.3561
mean CN of NN Ni,      chemSROP11,      surface CN,  0.2631,  0.2579,  0.0065,  0.0690, -0.5902,  0.0063,  0.0669, -0.5728
     surface CN, mean CN of NN Ni,      chemSROP12,  0.2694,  0.2627,  0.0030,  0.0068, -0.3753,  0.0031,  0.0405, -0.3711
     surface CN,      chemSROP12, mean CN of NN Ni,  0.2742,  0.2678,  0.0052,  0.0109, -0.3610,  0.0108,  0.0118, -0.3582
mean CN of NN Ni,      chemSROP12,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0016,  0.0668, -0.5724
     surface CN, mean CN of NN Ni,      chemSROP22,  0.2694,  0.2628,  0.0030,  0.0000, -0.3750,  0.0031,  0.0029, -0.3699
     surface CN,      chemSROP22, mean CN of NN Ni,  0.2742,  0.2678,  0.0007,  0.0108, -0.3603,  0.0015,  0.0117, -0.3570
mean CN of NN Ni,      chemSROP22,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN, mean CN of NN Ni,       gCN-Ni-Ni,  0.2687,  0.2622,  0.0026,  0.0436, -0.3784,  0.0027,  0.0384, -0.3726
     surface CN,       gCN-Ni-Ni, mean CN of NN Ni,  0.2721,  0.2658,  0.0170,  0.0069, -0.3597,  0.0163,  0.0079, -0.3561
mean CN of NN Ni,       gCN-Ni-Ni,      surface CN,  0.2557,  0.2513,  0.0115,  0.0691, -0.6311,  0.0110,  0.0657, -0.6060
     surface CN, mean CN of NN Ni,       gCN-Ni-Pt,  0.2694,  0.2628,  0.0028,  0.0074, -0.3763,  0.0029,  0.0068, -0.3710
     surface CN,       gCN-Ni-Pt, mean CN of NN Ni,  0.2714,  0.2651,  0.0169,  0.0028, -0.3619,  0.0164,  0.0038, -0.3581
mean CN of NN Ni,       gCN-Ni-Pt,      surface CN,  0.2545,  0.2489,  0.0092,  0.0669, -0.6489,  0.0093,  0.0645, -0.6318
     surface CN, mean CN of NN Ni,       gCN-Pt-Ni,  0.2579,  0.2516,  0.0013,  0.1857, -0.4848,  0.0015,  0.1791, -0.4771
